Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
MD1011,Maryland,MD,24,5,dealer license,,long gun,,,,,,,,,No law requiring dealer license for long guns,,,,,1,,,,,
MD1012,Maryland,MD,24,6,firearm sales restrictions,assault weapons ban,handgun,Restrictive,Implement,1994-06-01,,1994,6,1,Md. Code Ann. § 4-303,"(a) Except as provided in subsection (b) of this section, a person may not:
(1) transport an assault weapon into the State; or
(2) possess, sell, offer to sell, transfer, purchase, or receive an assault weapon.",,,,,,,,List of banned weapons and features in Md. Code Ann. § 4-301.,,
MD1013,Maryland,MD,24,6,firearm sales restrictions,assault weapons ban,long gun,Restrictive,Implement,2013-10-01,,2013,10,1,"Md. Code Ann. §§ 4-301, 4-303","§ 4-301(d) Assault weapon. -- ""Assault weapon"" means:
   (1) an assault long gun;
   (2) an assault pistol; or
   (3) a copycat weapon.",,,,,,,,"In 2013, adds assault long guns to ban. List of banned weapons and features in Md. Code Ann. § 4-301.",,
MD1014,Maryland,MD,24,6,firearm sales restrictions,saturday night special ban,handgun,Restrictive,Implement,1990-01-01,,1990,1,1,"Md. Code Ann., Pub. Safety Sec. 5-401 et seq.","§ 5-406. Manufacture or sale of handguns 


   (a) Prohibitions. --
   (1) Except as provided in § 5-402 of this subtitle, a person may not manufacture for distribution or sale a handgun that is not included on the handgun roster in the State.

   (2) A person may not sell or offer for sale in the State a handgun manufactured after January 1, 1985, that is not included on the handgun roster.

   (3) A person may not manufacture, sell, or offer for sale a handgun on which the manufacturer's identification mark or number is obliterated, removed, changed, or otherwise altered.
",,,,,,,,,,
MD1015,Maryland,MD,24,7,minimum age,youth possession,handgun,Restrictive,Implement,1996-10-01,,1996,10,1,"Md. Code Ann., Pub. Safety § 5-133(d)","(d) Possession by person under age of 21 years prohibited; exceptions. --
(1) Except as provided in paragraph (2) of this subsection, a person who is under the age of 21 years may not
possess a regulated firearm.",,,,,,21,,"Also applied to assault weapons Md. Code Ann., Pub. Safety § 5-101 defines a ""regulated firearm"" as a handgun or assault weapon.",,
MD1016,Maryland,MD,24,7,minimum age,youth possession,handgun,,,,,,,,,No law imposing minimum age for youth possession of handguns,1996-10-01,1996,10,1,1,,,,,H
MD1017,Maryland,MD,24,7,minimum age,youth possession,long gun,Permissive,Repeal,1997-04-08,,1997,4,8,"Md. Ann. Code art. 27, § 406","Section 6, Ch. 14, Acts 1997, approved Apr. 8, 1997, and effective from date of enactment, repealed the subheading ""Minors -- Selling Deadly or Dangerous Weapons to.""",,,,,,,,,,H
MD1018,Maryland,MD,24,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1888-01-01,,1888,1,1,Md. Ann. Code art. 27 § 5-134(b),"A dealer or other person may not sell, rent, or transfer a regulated firearm to a purchaser, lessee, or transferee who the dealer or other person knows or has reasonable cause to believe: (1) is under the age of 21 years",,,,,1,21,,"The initial version of the law passed in 1888. The current version excerpted here passed in 2003. The prior version was found in Md. Ann. Code Art. 27, § 442, 445, and before that, in Md. Ann. Code Art. 27, Sec. 491 (1951).",,D
MD1019,Maryland,MD,24,7,minimum age,purchase and sale,long gun,Restrictive,Implement,1970-01-01,See caveats and ambiguities about this date,1970,1,1,"Md. Ann. Code art. 27, § 406; Md. Code Ann., Pub. Safety § 5-134(d)(1)(ii) (2016)","It shall be unlawful for any person, be he licensed dealer or not, to sell, barter or give away any firearms whatsoever, or other deadly weapons or any ammunition therefor, to any minor under the age of eighteen years",,,,,1,18,,,"Vernick and Hepburn (2003) stated that 21 is the minimum age for all firearms. This section, which refers to all firearms, must have only applied to long guns, because the section on regulated firearms (assault weapons and handguns) has a different minimum age. Unclear what year this law was first implemented.",
MD1020,Maryland,MD,24,6,firearm sales restrictions,one gun per month,handgun,Restrictive,Implement,1996-10-01,,1996,10,1,"Md. Code Ann., Pub. Safety § 5-128(b)","§ 5-128. Purchases within 30 days -- In general 
   (a) Scope of subsection. -- Subsection (b) of this section does not apply to:
   (1) a law enforcement agency;
   (2) an agency authorized to perform law enforcement duties;
   (3) a State or local correctional facility;
   (4) a private security company licensed to do business in the State;
   (5) the purchase of an antique firearm;
   (6) a purchase by a licensee;
   (7) the exchange or replacement of a regulated firearm by a seller for a regulated firearm purchased from the seller by the same person seeking the exchange or replacement within 30 days immediately before the exchange or replacement; or
   (8) a person whose regulated firearm is stolen or irretrievably lost and who considers it essential that the regulated firearm be replaced immediately, if:
      (i) the person provides the licensee with a copy of the official police report or an official summary of the report, a copy of which shall be attached to the firearm application;
      (ii) the official police report or official summary of the report contains the name and address of the regulated firearm owner, a description of the regulated firearm, the location of the loss or theft, the date of the loss or theft, and the date when the loss or theft was reported to the law enforcement agency; and
      (iii) the loss or theft occurred within 30 days before the person's attempt to replace the regulated firearm, as reflected by the date of loss or theft on the official police report or official summary of the report.
(b) One purchase limit. -- A person may not purchase more than one regulated firearm in a 30-day period.",,,,,,,,,,
MD1022,Maryland,MD,24,8,open carry,license required,handgun,Permissive,Implement,1972-03-27,,1972,3,27,"Md. Code Ann. § 4-203(a), (b)(2)","(a)(1) Except as provided in subsection (b) of this section, a person may not: (i) wear, carry, or transport a handgun, whether concealed or open, on or about the person;  (b) This section does not prohibit: (2) the wearing, carrying, or transporting of a handgun, in compliance with any limitations imposed under § 5-307 of the Public Safety Article, by a person to whom a permit to wear, carry, or transport the handgun has been issued under Title 5, Subtitle 3 of the Public Safety Article;
",,,,,1,,,See 1972 Laws Ch. 13 for original version.,,
MD1024,Maryland,MD,24,11,registration,,handgun,Restrictive,Implement,1996-10-01,,1996,10,1,"Md. Code Ann., Pub. Safety §§ 5-123(d), 5-124E","Sec. 5-123(d) Notification of completed transaction. --
   (1) (i) A licensee who sells, rents, or transfers a regulated firearm in compliance with this subtitle shall forward a copy of the written notification of the completed transaction to the Secretary within 7 days after delivery of the regulated firearm.
      (ii) The notification shall contain an identifying description of the regulated firearm, including its caliber, make, model, any manufacturer's serial number, and any other special or peculiar characteristic or marking by which the regulated firearm may be identified.
   (2) The Secretary shall maintain a permanent record of all notifications received of completed sales, rentals, and transfers of regulated firearms in the State.                                                        Sec. 5-124(e): Notification of completed transaction. --
   (1) (i) A person who sells, rents, or transfers a regulated firearm in compliance with this subtitle shall forward a copy of the written notification of the completed transaction to the Secretary within 7 days after delivery of the regulated firearm.
      (ii) The notification shall contain an identifying description of the regulated firearm, including its caliber, make, model, any manufacturer's serial number, and any other special or peculiar characteristic or marking by which the regulated firearm may be identified.
   (2) The Secretary shall maintain a permanent record of all notifications received of completed sales, rentals, and transfers of regulated firearms in the State.",2013-10-01,2013,10,1,,,,"Regulated firearm defined as handgun or assault weapon in MD Code, Public Safety, § 5-101.",,
MD1025,Maryland,MD,24,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
MD1026,Maryland,MD,24,13,waiting period,,handgun,Restrictive,Implement,1966-06-01,,1966,6,1,Md. Public Safety Code Ann. § 5-124(a),"(b) Application to purchase or transfer. --No dealer shall sell or transfer any pistol or revolver until after seven days shall have elapsed from the time an application to purchase or transfer shall have been executed by the prospective purchaser or transferee, in triplicate, and forwarded by the prospective seller or transferor to the Superintendent of the Maryland State Police.",,,,,1,,7,"See Md. Ann. Code art. 27, § 442 (1991) for initial law.",,
MD1027,Maryland,MD,24,13,waiting period,,long gun,,,,,,,,,No law imposing waiting period for purchase of long guns,,,,,1,,,,,G
MD1028,Maryland,MD,24,9,permit to purchase,,handgun,Restrictive,Implement,2013-10-01,,2013,10,1,Md. Public Safety Code Ann. § 5-117.1,"A dealer or any other person may not sell, rent, or transfer a handgun to a purchaser, lessee, or
transferee unless the purchaser, lessee, or transferee presents to the dealer or other person a valid handgun qualification
license issued to the purchaser, lessee, or transferee by the Secretary under this section.  
issuance.",,,,,1,,,"Current law has three types of licenses for gun purchasers and owners: the Firearm Identification Card (‚”FID”), the license to carry, and a permit to purchase, rent or lease. Mass. Gen. Laws ch. 140, §§ 129B, 131",,
MD1029,Maryland,MD,24,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,,,,1,,,,,
MD1030,Maryland,MD,24,1,background checks,permit to purchase,handgun,Restrictive,Implement,2013-10-01,,2013,10,1,"MD Code, Public Safety, § 5-117.1","(b) A dealer or any other person may not sell, rent, or transfer a handgun to a purchaser, lessee, or transferee unless the purchaser, lessee, or transferee presents to the dealer or other person a valid handgun qualification license issued to the purchaser, lessee, or transferee by the Secretary under this section. (2) The Secretary shall apply to the Central Repository for a State and national criminal history records check for each applicant for a handgun qualification license.",,,,,,,,,,
MD1032,Maryland,MD,24,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement,1988-07-01,,1988,7,1,Md. Ann. Code art. 27 § 445 (1988),"(b) Subject to § 5-133.3 of this subtitle, a person may not possess a regulated firearm if the person: (6) suffers from a mental disorder as defined in § 10-101(i)(2) of the Health--General Article and has a history of violent behavior against the person or another",,,,,,,,,,
MD1033,Maryland,MD,24,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement,1988-07-01,,1988,7,1,Md. Ann. Code art. 27 § 445 (1988),"(b) Subject to § 5-133.3 of this subtitle, a person may not possess a regulated firearm if the person: (10) has been involuntarily committed to a facility as defined in § 10-101 of the Health--General Article.",,,,,,,,,,
MD1034,Maryland,MD,24,10,prohibited possessor,dvro : discretionary surrender,handgun and long gun,Restrictive,Implement,1996-10-01,,1996,10,1,"Md. Code Ann., Pub. Safety § 5-133(b)(8).",(b) The issuance of a Uniform Abuse Prevention Order that includes terms that prohibit the person from possessing a firearm or carrying a concealed weapon.,,,,,,,,"This law is conditional because the original text gave a judge discretion over whether to demand a person served with a DVRO to surrender firearms. An updated law in 2009 made this a requirement. This law is not expanded because Maryland does not allow dating partners to obtain civil protection orders. Under Maryland law, the following people are eligible for a protective order:Md. Code Fam. Law § 4-501 (1) The current or former spouse of the batterer, (2) A cohabitant of the batterer, (3) A person related to the batterer by blood, marriage, or adoption, (4) A vulnerable adult, (5) A person who has a child in common with the batterer, (6) A person who has had a sexual relationship with the respondent within 1 year before the filing of the petition",,
MD1035,Maryland,MD,24,10,prohibited possessor,dvro : surrender,handgun and long gun,Restrictive,Modify,2009-05-19,,2009,5,19,"Maryland Code, Family Law § 4-506(f)","The final protective order shall order the respondent to surrender to law enforcement authorities any firearm in the respondent's possession, and to refrain from possession of any firearm, for the duration of the protective order.",,,,,,,,,,
MD1036,Maryland,MD,24,10,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,Restrictive,Implement,2013-10-01,,2013,10,1,"MD Code, Public Safety, § 5-133","(b) Subject to § 5-133.3 of this subtitle, a person may not possess a regulated firearm if the person: 
(7) has been found incompetent to stand trial under § 3-106 of the Criminal Procedure Article;
(8) has been found not criminally responsible under § 3-110 of the Criminal Procedure Article;
(9) has been voluntarily admitted for more than 30 consecutive days to a facility as defined in § 10-101 of the Health--General Article;
(11) is under the protection of a guardian appointed by a court under § 13-201(c) or § 13-705 of the Estates and Trusts Article , except for cases in which the appointment of a guardian is solely a result of a physical disability;",,,,,,,,"Includes commitments after criminal trials and appointment of guardian. § 3-110 makes clear that not criminally responsible mean ""not criminally responsibly by reason of insanity""",,
MD1037,Maryland,MD,24,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement,2018-10-01,,2018,10,1,"Md. Code Ann., Pub. Safety §§ 5-601(E)(2); 5-602; 5-603","§5–603.

    (a)    (1)    When a petition is filed with a District Court commissioner under § 5–602(b)(2) of this subtitle, the commissioner may enter an interim extreme risk protective order to prohibit the respondent from possessing a firearm if the commissioner finds that there are reasonable grounds to believe that the respondent poses an immediate and present danger of causing personal injury to the respondent, the petitioner, or another by possessing a firearm.

        (2)    In determining whether to enter an interim extreme risk protective order under this section, the commissioner shall consider:

            (i)    all relevant evidence presented by the petitioner; and

            (ii)    the amount of time that has elapsed since any of the events described in the petition.

        (3)    The interim extreme risk protective order shall:

            (i)    order the respondent to surrender to law enforcement authorities any firearm and ammunition in the respondent’s possession; and

            (ii)    prohibit the respondent from purchasing or possessing any firearm or ammunition for the duration of the interim extreme risk protective order.

        (4)    If, based on the petition, the commissioner finds probable cause to believe that the respondent meets the requirements for emergency evaluation under Title 10, Subtitle 6 of the Health – General Article, the commissioner shall refer the respondent to law enforcement for a determination of whether the respondent should be taken for an emergency evaluation.

    (b)    (1)    (i)    An interim extreme risk protective order shall state the date, time, and location for a temporary extreme risk protective order hearing and a tentative date, time, and location for a final extreme risk protective order hearing.",,,,,,,,,,
MD1038,Maryland,MD,24,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement,2018-10-01,,2018,10,1,"Md. Code Ann., Pub. Safety §§ 5-601(E)(2); 5-602; 5-603","§5–601.

    (a)    In this subtitle the following words have the meanings indicated.

    (b)    “Ammunition” has the meaning stated in § 5–133.1 of this title.

    (c)    “Extreme risk protective order” means a civil interim, temporary, or final protective order issued in accordance with this subtitle.

    (d)    “Firearm” has the meaning stated in § 5–101 of this title.

    (e)    (1)    “Petitioner” means an individual who files a petition for an extreme risk protective order under this subtitle.

        (2)    “Petitioner” includes:

            (i)    a physician, psychologist, clinical social worker, licensed clinical professional counselor, clinical nurse specialist in psychiatric and mental health nursing, psychiatric nurse practitioner, licensed clinical marriage or family therapist, or health officer or designee of a health officer who has examined the individual;

            (ii)    a law enforcement officer;
            (iii)    the spouse of the respondent;
            (iv)    a cohabitant of the respondent;
            (v)    a person related to the respondent by blood, marriage, or adoption;
            (vi)    an individual who has a child in common with the respondent;
            (vii)    a current dating or intimate partner of the respondent; or
            (viii)    a current or former legal guardian of the respondent.

    (f)    “Respondent” means a person against whom a petition for an extreme risk protective order is filed. 

   §5–602.
 (a)    (1)    A petition for an extreme risk protective order shall:
            (i)    be signed and sworn to by the petitioner under the penalty of perjury;
            (ii)    include any information known to the petitioner that the respondent poses an immediate and present danger of causing personal injury to the respondent, the petitioner, or another by possessing a firearm;
            (iii)    set forth specific facts in support of the information described in item (ii) of this paragraph;                                                                                                                                                                                                                           §5–603(a)(1) When a petition is filed with a District Court commissioner under § 5-602(b)(2) of this subtitle, the commissioner may enter an interim extreme risk protective order to prohibit the respondent from possessing a firearm if the commissioner finds that there are reasonable grounds to believe that the respondent poses an immediate and present danger of causing personal injury to the respondent, the petitioner, or another by possessing a firearm.",,,,,,,,"Maryland uses the same abbreviation for an ERPO but the name is slightly different as the state uses ""protective"" instead of ""protection"" order (Extreme Risk Protective Order). This law identifys a broad range of individuals who can file for an extreme risk protection order: (I) a physician, psychologist, clinical social worker, licensed clinical professional counselor, clinical nurse specialist in psychiatric and mental health nursing, psychiatric nurse practitioner, licensed clinical marriage or family therapist, or health officer or designee of a health officer who has examined the individual; (ii) a law enforcement officer; (iii) the spouse of the respondent; (iv) a cohabitant of the respondent; (v) a person related to the respondent by blood, marriage, or adoption; (vi) an individual who has a child in common with the respondent; (vii) a current dating or intimate partner of the respondent; or (viii) a current or former legal guardian of the respondent.
Note that Maryland has three types of orders. In addition to the ex parte and full orders, the State also specifies an interim order that can be requested from judicial commissioners when the court is closed.",,
MD1039,Maryland,MD,24,12,safety training required,to purchase,handgun,,,,,,,,,No law requiring safety training for handguns,2013-10-01,2013,10,1,1,,,,,
MD1040,Maryland,MD,24,12,safety training required,to purchase,handgun,Restrictive,Implement,2013-10-01,,2013,10,1,"MD Code, Public Safety, § 5-117.1(d)","Subject to subsections (f) and (g) of this section, the Secretary shall issue a handgun qualification license to a person who the Secretary finds...(3) except as provided in subsection (e) of this section, has demonstrated satisfactory completion, within 3 years prior to the submission of the application, of a firearms safety training course approved by the Secretary that includes:
(i) a minimum of 4 hours of instruction by a qualified handgun instructor;
(ii) classroom instruction on:
1. State firearm law;
2. home firearm safety; and
3. handgun mechanisms and operation; and
(iii) a firearms orientation component that demonstrates the person's safe operation and handling of a firearm;",,,,,,,,,,
MD1041,Maryland,MD,24,10,prohibited possessor,erpo,handgun and long gun,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,2018-10-01,2018,10,1,1,,,,,
MD1042,Maryland,MD,24,10,prohibited possessor,dvro,handgun and long gun,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,1996-10-01,1996,10,1,1,,,,,
MD1043,Maryland,MD,24,10,prohibited possessor,mental health,handgun and long gun,,,,,,,,,No law prohibiting individuals with mental health issues from possessing firearms,1988-07-01,1988,7,1,1,,,,,
MD1044,Maryland,MD,24,11,registration,,handgun,Restrictive,Modify,2013-10-01,,2013,10,1,"MD Code, Public Safety, § 5-143(a)",A person who moves into the State with the intent of becoming a resident shall register all regulated firearms with the Secretary within 90 days after establishing residency.,,,,,,,,"Adds requirement for new residents.  Regulated firearm defined as handgun or assault weapon in MD Code, Public Safety, § 5-101",,
MD1045,Maryland,MD,24,12,safety training required,,long gun,,,,,,,,,No law requiring safety training for long guns,,,,,1,,,,,
MD1046,Maryland,MD,24,7,minimum age,youth possession,long gun,,,,,,,,,No law imposing minimum age for youth possession of long guns,1997-04-08,1997,4,8,1,,,,,
MD1047,Maryland,MD,24,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 
(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",,,,,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,
MD1048,Maryland,MD,24,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;
(B) (i) the system provides the licensee with a unique identification number; or
(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and
(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",,,,,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,
MD1049,Maryland,MD,24,9,permit to purchase,,handgun,,,,,,,,,No law requiring permit for the purchase of a handgun,2013-10-01,2013,10,1,1,,,,,
MD1050,Maryland,MD,24,8,open carry,not restricted,long gun,,,,,,,,,No law restricting open carry for long guns,,,,,1,,,,,
MD1052,Maryland,MD,24,9,permit to purchase,,long gun,,,,,,,,,No law requiring permit for the purchase of a long gun,,,,,1,,,,,
MD1051,Maryland,MD,24,6,firearm sales restrictions,,handgun and long gun,,,,,,,,,No law imposing any firearm ban,,,,,1,,,,,
MD1053,Maryland,MD,24,14,firearm removal at scene of domestic violence,,handgun and long gun,,,,,,,,,No law concerning removal of firearms at scene of domestic violence incident,1996-10-01,1996,10,1,1,,,,,
MD1054,Maryland,MD,24,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement,1996-10-01,,1996,1,1996,"MD Code, Family Law, § 4-511(a)","(a) When responding to the scene of an alleged act of domestic violence, as described in this subtitle, a law enforcement officer may remove a firearm from the scene if:
(1) the law enforcement officer has probable cause to believe that an act of domestic violence has occurred; and
(2) the law enforcement officer has observed the firearm on the scene during the response.",,,,,,,,,,
MD1055,Maryland,MD,24,13,firearms in college/university,,handgun and long gun,,,,,,,,,No law concerning firearms on college or university campus,,,,,1,,,,,
MD1056,Maryland,MD,24,12,local laws preempted by state,,handgun and long gun,,,,,,,,,State law does not preempt local law,1985-07-01,1985,7,1,1,,,,,
MD1057,Maryland,MD,24,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement,1985-07-01,,1985,1,1985,"MD Code, Criminal Law, § 4-209(a)","Except as otherwise provided in this section, the State preempts the right of a county, municipal corporation, or special taxing district to regulate the purchase, sale, taxation, transfer, manufacture, repair, ownership, possession, and transportation of:
(1) a handgun, rifle, or shotgun; and
(2) ammunition for and components of a handgun, rifle, or shotgun.",,,,,,,,"Initially passed as Art. 27, sec. 36H.","Exceptions: (b)(1) A county, municipal corporation, or special taxing district may regulate the purchase, sale, transfer, ownership, possession, and transportation of the items listed in subsection (a) of this section:
(i) with respect to minors;
(ii) with respect to law enforcement officials of the subdivision; and
(iii) except as provided in paragraph (2) of this subsection, within 100 yards of or in a park, church, school, public building, and other place of public assembly.
(2) A county, municipal corporation, or special taxing district may not prohibit the teaching of or training in firearms safety, or other educational or sporting use of the items listed in subsection (a) of this section.
(3) A county, municipal corporation, or special taxing district may not prohibit the transportation of an item listed in subsection (a) of this section by a person who is carrying a court order requiring the surrender of the item, if:
(i) the handgun, rifle, or shotgun is unloaded;
(ii) the person has notified the law enforcement unit, barracks, or station that the item is being transported in accordance with the court order; and
(iii) the person transports the item directly to the law enforcement unit, barracks, or station.  (d)(1) Except as provided in paragraph (2) of this subsection, in accordance with law, a county, municipal corporation, or special taxing district may regulate the discharge of handguns, rifles, and shotguns.",
MD1058,Maryland,MD,24,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,,,,,,,,No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime,,,,,1,,,,,
MD1059,Maryland,MD,24,11,required reporting of lost or stolen firearms,,handgun and long gun,,,,,,,,,No law requiring reporting of lost or stolen firearms,2013-10-01,2013,10,1,1,,,,,
MD1060,Maryland,MD,24,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement,2013-10-01,,2013,1,2013,"MD Code, Public Safety, § 5-146(b)","If a regulated firearm is lost or stolen, the owner of the regulated firearm shall report the loss or theft to the local law enforcement agency within 72 hours after the owner first discovers the loss or theft.",,,,,,,,"MD Code, Public Safety, § 5-101: ""regulated firearm"" is a handgun or assault weapon",,
MA1001,Massachusetts,MA,25,1,background checks,permit to purchase,handgun,Restrictive,Implement,1969-01-01,,1969,1,1,"Mass Laws 1968, Ch. 737 § 129B","Any person may submit to the licensing authority application for a firearm identification card, which such person shall be entitled to, unless the applicant 
(a) Has within the last five years been convicted of a felony in any state or federal jurisdiction, or within that period has been released from a state prison or penitentiary, or 
(b) Has been confined to any hospital or institution for mental illness, except where the applicant shall submit with the application an affidavit of a registered physician that he is familiar with the applicant's history of mental illness and that in his opinion the applicant is not disabled by such illness in a manner which should prevent his possessing a rifle or shotgun, or 
(c) Has been convicted of a violation of any federal or state narcotic or harmful drug law, or is under treatment or confinement for drug addiction or habitual drunkenness, except when he is deemed to be cured of such condition by a competent medical authority, he may make application for said license after the expiration of five years; from the date of such finding and upon the presentation of an affidavit issued by said authority to that effect, or
(d) Is at the time of the application under the age of fifteen, or
(e) Is at the time of the application fifteen years of age or over but under the age of eighteen, except where the applicant submits with his application a certificate of his parent or guardian granting the applicant permission to apply for a card.",,,,,1,,,"Permit to purchase law. Vernick and Hepburn (2003) say handguns only, but law includes rifles. See also Mass. Gen. Laws Ch. 140, § 128A  law requiring private sellers to use web portal to conduct real-time check.","Cramer (undated) notes that the ""1968 law that requires a Firearms ID card or License to Carry to purchase a firearm apparently did not explicitly require private party sales to have a background check. (This was added in¬†1998.) Still, it is quite apparent that you needed an FID or LTC to purchase a firearm in Massachusetts starting in 1968, and both required a background check. I think it is clear that Massachusetts has required a background check to get either FID or LTC, and you could not legally buy a firearm from anyone without one or the other."" See http://claytonecramer.blogspot.com/2013/03/need-some-help-chasing-down-some-laws_22.html",
MA1002,Massachusetts,MA,25,1,background checks,private sales,handgun,Restrictive,Implement,1969-01-01,,1969,1,1,"Mass Laws 1968, Ch. 737 § 129B","Any person may submit to the licensing authority application for a firearm identification card, which such person shall be entitled to, unless the applicant 
(a) Has within the last five years been convicted of a felony in any state or federal jurisdiction, or within that period has been released from a state prison or penitentiary, or 
(b) Has been confined to any hospital or institution for mental illness, except where the applicant shall submit with the application an affidavit of a registered physician that he is familiar with the applicant's history of mental illness and that in his opinion the applicant is not disabled by such illness in a manner which should prevent his possessing a rifle or shotgun, or 
(c) Has been convicted of a violation of any federal or state narcotic or harmful drug law, or is under treatment or confinement for drug addiction or habitual drunkenness, except when he is deemed to be cured of such condition by a competent medical authority, he may make application for said license after the expiration of five years; from the date of such finding and upon the presentation of an affidavit issued by said authority to that effect, or
(d) Is at the time of the application under the age of fifteen, or
(e) Is at the time of the application fifteen years of age or over but under the age of eighteen, except where the applicant submits with his application a certificate of his parent or guardian granting the applicant permission to apply for a card.",,,,,1,,,"Permit to purchase law. Vernick and Hepburn (2003) say handguns only, but law includes rifles. See also Mass. Gen. Laws Ch. 140, § 128A  law requiring private sellers to use web portal to conduct real-time check.","Cramer (undated) notes that the ""1968 law that requires a Firearms ID card or License to Carry to purchase a firearm apparently did not explicitly require private party sales to have a background check. (This was added in¬†1998.) Still, it is quite apparent that you needed an FID or LTC to purchase a firearm in Massachusetts starting in 1968, and both required a background check. I think it is clear that Massachusetts has required a background check to get either FID or LTC, and you could not legally buy a firearm from anyone without one or the other."" See http://claytonecramer.blogspot.com/2013/03/need-some-help-chasing-down-some-laws_22.html",
MA1003,Massachusetts,MA,25,1,background checks,sales from dealer,long gun,Restrictive,Implement,1969-01-01,,1969,1,1,"Mass Laws 1968, Ch. 737 § 129B","Any person may submit to the licensing authority application for a firearm identification card, which such person shall be entitled to, unless the applicant
(a) Has within the last five years been convicted of a felony in any state or federal jurisdiction, or within that period has been released from a state prison or penitentiary, or 
(b) Has been confined to any hospital or institution for mental illness, except where the applicant shall submit with the application an affidavit of a registered physician that he is familiar with the applicant's history of mental illness and that in his opinion the applicant is not disabled by such illness in a manner which should prevent his possessing a rifle or shotgun, or 
(c) Has been convicted of a violation of any federal or state narcotic or harmful drug law, or is under treatment or confinement for drug addiction or habitual drunkenness, except when he is deemed to be cured of such condition by a competent medical authority, he may make application for said license after the expiration of five years; from the date of such finding and upon the presentation of an affidavit issued by said authority to that effect, or
(d) Is at the time of the application under the age of fifteen, or
(e) Is at the time of the application fifteen years of age or over but under the age of eighteen, except where the applicant submits with his application a certificate of his parent or guardian granting the applicant permission to apply for a card.",,,,,1,,,,,
